Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000121913;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121754;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121693;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121766;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121848;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121697;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121888;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121684;001;19/11/2018;19/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121976;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121729;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121956;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121757;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121946;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121773;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121784;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121725;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121892;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121676;001;19/11/2018;19/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121837;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121761;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121955;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121728;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121741;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121813;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121840;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121668;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121898;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121683;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121861;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121802;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026862;002;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121779;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121829;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121825;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121878;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121671;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121903;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121679;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121872;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121726;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026858;002;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121795;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121832;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121801;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121639;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121908;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121688;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121916;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121739;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121887;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121707;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026852;002;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121808;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121742;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121824;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121655;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121919;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121706;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121915;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121781;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121952;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121738;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121937;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121811;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000123304;001;31/01/2019;31/01/2019;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121767;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121711;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121895;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121718;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121882;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121823;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121966;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121708;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121962;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121822;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121780;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121722;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121902;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121646;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121788;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121656;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121974;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121731;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121958;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121771;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121820;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121737;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121922;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121744;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121868;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121792;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121934;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121660;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121849;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121749;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121827;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121812;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121877;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121640;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121870;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121653;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121844;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121663;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121911;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121752;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121691;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121764;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121845;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121680;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121883;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121727;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121927;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121709;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121914;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121755;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121929;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121768;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121857;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121698;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121889;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121689;001;19/11/2018;19/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121979;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121733;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121953;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121629;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121947;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121775;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121785;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121634;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121894;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121677;001;19/11/2018;19/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121847;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121762;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026860;002;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121732;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121743;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121814;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121856;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121669;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121899;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121667;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121862;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121807;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026863;002;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121787;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121830;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121826;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121863;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121674;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121904;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121686;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121884;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121699;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026859;002;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121796;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121833;001;05/12/2018;05/12/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121805;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121645;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121909;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121704;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121923;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121758;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121890;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121712;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000026853;002;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;71187165000162
000121809;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121834;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121665;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121869;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121714;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121921;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121790;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121960;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121746;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121949;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121816;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000123326;001;01/02/2019;01/02/2019;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121772;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121713;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121896;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121721;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121777;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121658;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121969;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121710;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121963;001;30/11/2018;30/11/2018;MERCADORIA DEVOLVIDA AO CLIENTE DE ORIGEM;59609123000681
000121841;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121786;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121730;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121907;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121647;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121804;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121657;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121853;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121747;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121880;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121778;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121850;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121616;001;19/11/2018;19/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121851;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121770;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121917;001;28/11/2018;28/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121793;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121838;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121661;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121893;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121750;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121948;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121835;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121852;001;26/11/2018;26/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121650;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121871;001;27/11/2018;27/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121654;001;20/11/2018;20/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121855;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121696;001;22/11/2018;22/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121912;001;29/11/2018;29/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121753;001;21/11/2018;21/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121692;001;30/11/2018;30/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
000121765;001;23/11/2018;23/11/2018;ENTREGA REALIZADA NORMALMENTE;59609123000681
