Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000001706;001;16/09/2020;16/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000554
000040842;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041333;003;;18/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000091857;001;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092290;001;24/09/2020;24/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040973;003;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041568;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040389;003;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041036;003;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040660;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041173;003;11/09/2020;11/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040802;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000000090;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;61387197000158
000091753;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092296;001;;21/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000040931;003;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000010396;001;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;04194124000106
000017409;006;05/08/2020;05/08/2020;ENTREGA REALIZADA NORMALMENTE;07439329000364
000041002;003;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041564;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000091527;001;13/08/2020;13/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023240;001;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040656;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091732;001;;10/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000040788;003;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041251;003;17/09/2020;17/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000002689;001;26/08/2020;26/08/2020;ENTREGA REALIZADA NORMALMENTE;08807832000126
000092207;001;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023123;001;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023429;001;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;58062365000120
000091246;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092056;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000092423;001;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000040562;003;13/08/2020;13/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041094;003;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040728;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023281;001;14/09/2020;14/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040785;003;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092174;001;;17/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000040840;003;26/08/2020;26/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041295;003;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040979;003;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023423;001;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;58062365000120
000028336;001;10/08/2020;10/08/2020;ENTREGA REALIZADA NORMALMENTE;60191616000119
000092059;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000000606;001;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;23989907000120
000041597;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000002862;001;14/08/2020;14/08/2020;ENTREGA REALIZADA NORMALMENTE;27548695000105
000091984;001;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040725;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023284;001;14/09/2020;14/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000091712;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092189;001;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091820;001;26/08/2020;26/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041298;003;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023137;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041509;003;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040459;003;10/08/2020;10/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092062;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000000339;001;;07/08/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;22367385000162
000092065;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000091590;001;14/08/2020;14/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041086;003;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040732;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041198;003;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091715;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023344;001;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040861;003;27/08/2020;27/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041357;003;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023153;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041562;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000022914;001;10/08/2020;10/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092069;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000040613;003;17/08/2020;17/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091976;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040735;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092097;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091718;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023340;001;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040893;003;27/08/2020;27/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092274;001;23/09/2020;23/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040983;003;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041476;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040482;003;12/08/2020;12/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092072;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000040683;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000010327;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;07354553000191
000028402;001;19/08/2020;19/08/2020;ENTREGA REALIZADA NORMALMENTE;60191616000119
000091987;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023052;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023343;001;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040892;003;27/08/2020;27/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092290;001;24/09/2020;24/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040969;003;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041500;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000022926;001;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092086;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000022976;001;17/08/2020;17/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023255;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023005;001;20/08/2020;20/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092065;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023049;001;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000041301;003;18/09/2020;18/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023092;001;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000092305;001;24/09/2020;24/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091902;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092406;001;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;60042686000105
000022918;001;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000000589;001;04/09/2020;04/09/2020;ENTREGA REALIZADA NORMALMENTE;23989907000120
000091632;001;17/08/2020;17/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023258;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040486;003;20/08/2020;20/08/2020;ENTREGA REALIZADA NORMALMENTE;13182443000192
000041196;003;;14/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040793;003;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000010313;000;21/09/2020;21/09/2020;ENTREGA REALIZADA NORMALMENTE;19667950000100
000091853;001;31/08/2020;31/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041447;003;25/09/2020;25/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091905;001;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041521;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000022921;001;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000091767;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091598;001;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023261;001;10/09/2020;10/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000040776;003;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000089115;001;15/09/2020;15/09/2020;ENTREGA REALIZADA NORMALMENTE;00165251000207
000040844;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092248;001;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000091852;001;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000010386;001;25/09/2020;25/09/2020;ENTREGA REALIZADA NORMALMENTE;07354553000191
000040975;003;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041537;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000091491;001;12/08/2020;12/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000041053;003;04/09/2020;04/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040662;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041174;003;11/09/2020;11/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040796;003;24/08/2020;24/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000023314;001;;15/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;58062365000120
000091790;001;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023355;001;;18/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;58062365000120
000091858;001;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000092306;001;24/09/2020;24/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040916;003;02/09/2020;02/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041566;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000040390;003;11/08/2020;11/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000091935;001;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040659;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092079;001;11/09/2020;11/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040790;003;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041238;003;23/09/2020;23/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000715534;001;26/08/2020;26/08/2020;ENTREGA REALIZADA NORMALMENTE;59609123001220
000092209;001;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040932;003;28/08/2020;28/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041326;003;25/09/2020;25/09/2020;ENTREGA REALIZADA NORMALMENTE;16487878000133
000000870;001;05/08/2020;05/08/2020;ENTREGA REALIZADA NORMALMENTE;15596421000102
000000588;001;03/09/2020;03/09/2020;ENTREGA REALIZADA NORMALMENTE;23989907000120
000041567;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000028380;001;12/08/2020;12/08/2020;ENTREGA REALIZADA NORMALMENTE;60191616000119
000041092;003;09/09/2020;09/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040707;003;18/08/2020;18/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000041189;003;11/09/2020;11/09/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000040787;003;25/08/2020;25/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092176;001;17/09/2020;17/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000040849;003;26/08/2020;26/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092206;001;22/09/2020;22/09/2020;ENTREGA REALIZADA NORMALMENTE;60042686000105
000023125;001;01/09/2020;01/09/2020;ENTREGA REALIZADA NORMALMENTE;58062365000120
000023425;001;;25/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;58062365000120
000040441;003;10/08/2020;10/08/2020;ENTREGA REALIZADA NORMALMENTE;03496778000121
000092057;002;08/09/2020;08/09/2020;ENTREGA REALIZADA NORMALMENTE;33592510044798
000041615;003;;28/09/2020;PROCESSO DE TRANSPORTE JÁ INICIADO;03496778000121
000043429;001;12/08/2020;12/08/2020;ENTREGA REALIZADA NORMALMENTE;06913480001563
