Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000522449;001;;23/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000528583;001;;29/09/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000522840;001;;25/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000529901;001;;04/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000523694;001;;30/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000530814;001;;10/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000524230;001;04/09/2017;04/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000530700;001;;10/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000525203;001;14/09/2017;14/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000519274;001;;04/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000526450;001;18/09/2017;18/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000519508;001;;08/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000527113;001;25/09/2017;25/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000520160;001;14/08/2017;14/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000527509;001;25/09/2017;25/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000520781;001;16/08/2017;16/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000527506;001;25/09/2017;25/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000521366;001;21/08/2017;21/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000527104;001;25/09/2017;25/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000521860;001;21/08/2017;21/08/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000528569;001;;29/09/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000522832;001;;25/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000528920;001;;29/09/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000523161;001;;29/08/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000529892;001;;04/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
000523155;001;05/09/2017;05/09/2017;ENTREGA REALIZADA NORMALMENTE;59609123001220
000530754;001;;10/10/2017;PROCESSO DE TRANSPORTE JÁ INICIADO;59609123001220
