Número (DOC);Série (DOC);Última Entrega;Data (OCOR);Descrição (OCOR);Remetente (cnpj/cpf)
000016289;001;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000016353;001;;26/09/2018;EM TRÂNSITO;58062365000120
000038234;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003501
000263839;002;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510004494
000016400;001;;26/09/2018;ENTREGA PROGRAMADA;58062365000120
000147935;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000145346;002;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510016409
000148034;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148824;002;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148415;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148419;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000001060;001;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000554
000557995;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
001156001;005;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;17227422000105
000557280;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
000560544;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
000016224;001;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000264726;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510004494
000016223;001;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000038452;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003501
000016248;001;25/09/2018;25/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000389442;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000820
000263206;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510004494
000001050;001;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000554
000016401;001;;26/09/2018;ENTREGA PROGRAMADA;58062365000120
000038233;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003501
000558932;002;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
000016398;001;;26/09/2018;ENTREGA PROGRAMADA;58062365000120
000147939;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148831;002;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148036;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148822;002;17/09/2018;17/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000148416;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000016322;001;18/09/2018;18/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000148420;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510000740
000000741;001;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;32592073002583
000557998;002;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
000004609;001;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;60874005000175
000016219;001;06/09/2018;06/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000560225;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003412
000016226;001;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000077123;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510044798
000016227;001;05/09/2018;05/09/2018;ENTREGA REALIZADA NORMALMENTE;58062365000120
000038450;002;24/09/2018;24/09/2018;ENTREGA REALIZADA NORMALMENTE;33592510003501
